epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,30.438,0.77346,1.22509,1.20707,0.94703,0.38718,0.42121,0.30336,1.74467,2.35754,1.52078,2.99066e-05,2.99066e-05,2.99066e-05
56,30.9147,0.67961,0.85543,1.19082,0.94703,0.38718,0.42121,0.30336,1.74467,2.35754,1.52078,2.98125e-05,2.98125e-05,2.98125e-05
57,31.4201,0.663,0.72203,1.18887,0.94719,0.38663,0.41951,0.30418,1.75601,2.37616,1.52778,2.96948e-05,2.96948e-05,2.96948e-05
58,31.9172,1.12184,1.23016,1.45002,0.94719,0.38663,0.41951,0.30418,1.75601,2.37616,1.52778,2.95535e-05,2.95535e-05,2.95535e-05
59,32.4027,0.7186,0.82742,1.19129,0.94719,0.38663,0.41951,0.30418,1.75601,2.37616,1.52778,2.93887e-05,2.93887e-05,2.93887e-05
60,32.9121,0.78189,0.9464,1.31927,0.94402,0.38684,0.4215,0.30144,1.7685,2.37103,1.54469,2.92003e-05,2.92003e-05,2.92003e-05
61,33.3982,0.5793,0.86119,1.06443,0.94402,0.38684,0.4215,0.30144,1.7685,2.37103,1.54469,2.89884e-05,2.89884e-05,2.89884e-05
62,33.8967,0.6817,0.92215,1.20107,0.94402,0.38684,0.4215,0.30144,1.7685,2.37103,1.54469,2.87529e-05,2.87529e-05,2.87529e-05
63,34.3903,0.57296,0.77239,1.08978,0.94658,0.3867,0.42371,0.30541,1.77441,2.38956,1.53498,2.84938e-05,2.84938e-05,2.84938e-05
64,34.8866,0.69416,0.92172,1.06995,0.94658,0.3867,0.42371,0.30541,1.77441,2.38956,1.53498,2.82112e-05,2.82112e-05,2.82112e-05
65,35.3625,0.6791,0.72204,1.08241,0.94658,0.3867,0.42371,0.30541,1.77441,2.38956,1.53498,2.7905e-05,2.7905e-05,2.7905e-05
66,35.857,0.88579,1.78973,1.31689,0.94148,0.38817,0.42516,0.30591,1.79168,2.40509,1.55123,2.75753e-05,2.75753e-05,2.75753e-05
67,36.3409,0.82077,0.84556,1.2449,0.94148,0.38817,0.42516,0.30591,1.79168,2.40509,1.55123,2.7222e-05,2.7222e-05,2.7222e-05
