epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,28.8692,0.59207,1.00158,1.03297,0.5,0.38333,0.44,0.32829,1.75219,2.38342,1.53006,3.00242e-05,3.00242e-05,3.00242e-05
54,29.3663,0.70577,0.96668,1.08322,0.5,0.38333,0.44,0.32829,1.74467,2.35754,1.52078,2.99772e-05,2.99772e-05,2.99772e-05
55,29.8481,0.77346,1.22509,1.20707,0.5,0.38333,0.44,0.32829,1.74467,2.35754,1.52078,2.99066e-05,2.99066e-05,2.99066e-05
56,30.3181,0.67961,0.85543,1.19082,0.5,0.38333,0.44,0.32829,1.74467,2.35754,1.52078,2.98125e-05,2.98125e-05,2.98125e-05
57,30.8067,0.663,0.72203,1.18887,0.5,0.38333,0.44,0.3324,1.75601,2.37616,1.52778,2.96948e-05,2.96948e-05,2.96948e-05
58,31.2809,1.12184,1.23016,1.45002,0.5,0.38333,0.44,0.3324,1.75601,2.37616,1.52778,2.95535e-05,2.95535e-05,2.95535e-05
59,31.7622,0.7186,0.82742,1.19129,0.5,0.38333,0.44,0.3324,1.75601,2.37616,1.52778,2.93887e-05,2.93887e-05,2.93887e-05
60,32.2494,0.78189,0.9464,1.31927,0.5,0.38333,0.44,0.32418,1.7685,2.37103,1.54469,2.92003e-05,2.92003e-05,2.92003e-05
61,32.7277,0.5793,0.86119,1.06443,0.5,0.38333,0.44,0.32418,1.7685,2.37103,1.54469,2.89884e-05,2.89884e-05,2.89884e-05
62,33.2011,0.6817,0.92215,1.20107,0.5,0.38333,0.44,0.32418,1.7685,2.37103,1.54469,2.87529e-05,2.87529e-05,2.87529e-05
63,33.6937,0.57296,0.77239,1.08978,0.5,0.38333,0.44,0.3324,1.77441,2.38956,1.53498,2.84938e-05,2.84938e-05,2.84938e-05
64,34.1705,0.69416,0.92172,1.06995,0.5,0.38333,0.44,0.3324,1.77441,2.38956,1.53498,2.82112e-05,2.82112e-05,2.82112e-05
65,34.6459,0.6791,0.72204,1.08241,0.5,0.38333,0.44,0.3324,1.77441,2.38956,1.53498,2.7905e-05,2.7905e-05,2.7905e-05
66,35.1598,0.88579,1.78973,1.31689,0.5,0.38333,0.44,0.3324,1.79168,2.40509,1.55123,2.75753e-05,2.75753e-05,2.75753e-05
67,35.7385,0.82077,0.84556,1.2449,0.5,0.38333,0.44,0.3324,1.79168,2.40509,1.55123,2.7222e-05,2.7222e-05,2.7222e-05
68,36.2124,0.56984,0.74022,1.02371,0.5,0.38333,0.44,0.3324,1.79168,2.40509,1.55123,2.68451e-05,2.68451e-05,2.68451e-05
69,36.7242,0.82469,0.92795,1.32183,0.5,0.38333,0.44,0.32932,1.79545,2.43868,1.55432,2.64447e-05,2.64447e-05,2.64447e-05
70,37.2186,0.83332,1.10932,1.25906,0.5,0.38333,0.44,0.32932,1.79545,2.43868,1.55432,2.60207e-05,2.60207e-05,2.60207e-05
71,37.6982,0.59991,0.71196,1.11747,0.5,0.38333,0.44,0.32932,1.79545,2.43868,1.55432,2.55731e-05,2.55731e-05,2.55731e-05
72,38.2158,0.6262,0.85568,1.17056,0.5,0.38333,0.44,0.32654,1.77871,2.47091,1.54091,2.5102e-05,2.5102e-05,2.5102e-05
73,38.6879,0.59189,0.6446,1.11411,0.5,0.38333,0.44,0.32654,1.77871,2.47091,1.54091,2.46073e-05,2.46073e-05,2.46073e-05
